version,wall_time_ns,cpu_time_ns
naive,46182853.82,44946670.28
naive,48949157.4,47430841.88
naive,42166071.38,41216310.72
naive,41849329.42,41148818.84
naive,45384783.02,44829807.28
naive,46482213.54,46075156.04
naive,48540351.12,49163341.22
naive,50091825.08,51981704.06
naive,50976320.42,50785048.68
naive,48648484.06,48704421.16
naive,43793444.5,44581067.62
naive,45240234.1,46080863.5
naive,46474549.18,46499332.28
naive,46331920.52,46591383.1
naive,46083257.3,45074493.3
naive,45074904.66,44344022.04
naive,44733097.46,44126773.74
naive,47205506.08,46967105.72
naive,48940868.08,48893185.34
naive,53188305.06,53286416.2
naive,47369904.36,48779438.16
naive,47747344.74,48436265.36
naive,50550766.0,50412489.86
naive,46673005.9,46994138.82
naive,42495403.38,43133476.98
naive,46657875.2,47042220.28
naive,45917750.64,45883216.94
naive,45665447.64,45391017.3
naive,48233097.26,46892518.82
naive,45168026.74,44298770.88
optimized,1372608.54,1340623.04
optimized,1184539.84,1158320.24
optimized,1065229.84,1041634.06
optimized,1037706.42,1014727.52
optimized,1224252.3,1197158.08
optimized,1043519.9,1020422.86
optimized,1467394.3,1434938.98
optimized,1201042.86,1174436.92
optimized,1155660.34,1130076.02
optimized,1043404.36,1021553.14
optimized,1041195.68,1020981.68
optimized,1197990.62,1174735.76
optimized,1362878.38,1336419.32
optimized,1158928.52,1136441.62
optimized,1208307.64,1184809.74
optimized,1195763.22,1172542.56
optimized,1258442.72,1233672.22
optimized,1164523.94,1141906.4
optimized,1091808.34,1070589.14
optimized,1087391.4,1068241.36
optimized,1032706.14,1032013.78
optimized,1051124.06,1050351.3
optimized,1345226.32,1344286.04
optimized,1034717.06,1034005.7
optimized,1020730.68,1020024.84
optimized,1062901.0,1062168.42
optimized,1206562.18,1205736.26
optimized,999250.86,1000993.42
optimized,1228375.66,1230596.76
optimized,1097217.3,1099180.5
